Sample_id,uts_mpa,ys_mpa,elongation_percent,hardness_hv,cyclces_to_fatilure
T5,170,130,30,55,836
T6A,188,141,28,65,1286
T6W,170,135,27,73,708
CT2,163,136,21,82,1392
CT4,176,145,20.5,84,1723
CT6,219,186,18.5,81,2216
CT8,224,191,19,86,1878
CT10,227,193,18.75,79,1605
CT12,228,194,18.25,82,1593
CT14,229,195,18,80,1392
CT16,220,196,17.5,84,1249
CT18,223,198,17.25,81,905
CT20,226,202,17,79,782
CT22,228,205,17,80,554
CT24,230,208,17,82,364
ECAP90,312,295,10,115,7481
ECAP120,265,256,16,95,5860
