route_id,route_family,process_subtype,soak_hours,ecap_angle_deg,YS_MPa,UTS_MPa,elongation_percent,Hardness_hv,grain_size_um,cycles_to_failure,TSA,frequency_Hz,temperature_C,log_Nf,d_inv_sqrt,strength_ratio,fatigue_efficiency,PSA_mean,mean_stress_mean,stress_amp_mean,unloading_modulus_mean
T5,AR,,,,130,170,30,55,82,836,0.004,0.3,27,2.922206277,0.110431526,0.764705882,0.02247851,0.000644246,5.888502392,197.4646292,60296.79545
T6A,HT,air,,,141,188,28,65,78,1286,0.004,0.3,27,3.109240969,0.113227703,0.75,0.022051354,0.00047764,-10.66352174,133.8655062,35039.81134
T6W,HT,water,,,135,170,27,73,91,708,0.004,0.3,27,2.850033258,0.104828484,0.794117647,0.021111357,0.000661723,1.18660452,163.5209082,51413.62147
CT2,DCT,soak,2,,136,163,21,82,80,1392,0.004,0.3,27,3.143639235,0.111803399,0.834355828,0.023114994,6.64E-05,-4.143989943,151.4882672,39632.65805
CT4,DCT,soak,4,,145,176,20.5,84,81,1723,0.004,0.3,27,3.236285277,0.111111111,0.823863636,0.022319209,0.000608979,-15.8871271,122.5623476,36826.92223
CT6,DCT,soak,6,,186,219,18.5,81,73,2216,0.004,0.3,27,3.345569756,0.117041147,0.849315068,0.017986934,0.000161625,-7.021288809,133.6233908,33668.89125
CT8,DCT,soak,8,,191,224,19,86,78,1878,0.004,0.3,27,3.273695588,0.113227703,0.852678571,0.017139767,9.28E-05,-42.45158253,82.154459,27793.44196
CT10,DCT,soak,10,,193,227,18.75,79,82,1605,0.004,0.3,27,3.205475037,0.110431526,0.850220264,0.016608679,0.000592498,-2.361841121,170.9899084,50909.78941
CT12,DCT,soak,12,,194,228,18.25,82,79,1593,0.004,0.3,27,3.202215776,0.11250879,0.850877193,0.016506267,0.000521055,-13.73003327,148.059204,41093.52982
CT14,DCT,soak,14,,195,229,18,80,81,1392,0.004,0.3,27,3.143639235,0.111111111,0.851528384,0.016121227,0.000931344,-44.18460426,147.460464,51910.16667
CT16,DCT,soak,16,,196,220,17.5,84,79,1249,0.004,0.3,27,3.096562438,0.11250879,0.890909091,0.015798788,4.99E-05,-7.547791033,146.7561313,37968.65252
CT18,DCT,soak,18,,198,223,17.25,81,78,905,0.004,0.3,27,2.956648579,0.113227703,0.887892377,0.014932569,0.000493547,1.734887293,184.2639823,53558.7105
CT20,DCT,soak,20,,202,226,17,79,82,782,0.004,0.3,27,2.893206753,0.110431526,0.89380531,0.014322806,0.000539604,-1.907910486,185.0051394,54363.92199
CT22,DCT,soak,22,,205,228,17,80,80,554,0.004,0.3,27,2.743509765,0.111803399,0.899122807,0.013382974,0.000804404,1.871487365,175.3906643,57196.13899
CT24,DCT,soak,24,,208,230,17,82,76,364,0.004,0.3,27,2.561101384,0.114707867,0.904347826,0.012312987,0.000136621,-4.705236264,152.6142555,38626.64835
ECAP90,ECAP,angle,,90,295,312,10,115,12,7481,0.004,0.3,27,3.873959655,0.288675135,0.945512821,0.013132067,1.30E-05,-2.503661543,142.4345037,35908.07232
ECAP120,ECAP,angle,,120,256,265,16,95,20,5860,0.004,0.3,27,3.767897616,0.223606798,0.966037736,0.01471835,1.15E-05,-43.35786092,146.8027459,36969.43669
